"","p","d","q","Mean Error","Root Mean Squared Error","Mean Absolute Error","Mean Percentage Error","Mean Absolute Percentage Error","Mean Absolute Scaled Error","Autocorrelation of errors at lag 1"
"141",4,0,12,0.0518332833001906,20.5767307894799,13.9967337751828,-50.3560590140322,76.2511024277069,0.893764178450886,0.000622373479739182
"142",4,0,13,-0.0910801424546215,20.5297060466972,14.0369612284957,-51.0737448538562,75.9453664104508,0.896332910366407,-0.000591398948266037
"143",4,0,14,-0.00638458138685831,20.522148257987,14.056056301389,-52.916533144168,78.9169802220486,0.897552229988473,0.00889223426364615
"144",4,0,15,0.0521194583546377,20.8975343824546,13.9134089136066,-31.7447998506915,64.0095288124784,0.888443453083996,0.00321816704881631
"145",4,1,0,0.00285613456911258,22.657662390946,14.8042391367134,-10.9507155225193,46.463637620808,0.945327591575362,-0.0042657049865109
"146",4,1,1,-0.194600129743294,21.5765826930328,14.6376551489558,-55.9963399409926,73.4583539517644,0.934690338388104,-0.00302696349611836
"147",4,1,2,0.00468589363768987,22.5311262239653,14.7764053874741,-10.8620006644287,47.9356405685608,0.943550262062516,0.000104209811340547
"148",4,1,3,0.00486040008467547,22.5322156749329,14.7833668977091,-11.1916172676349,48.0876056392235,0.943994790662967,-0.000534637598270839
"149",4,1,4,0.00450406886819437,22.5300381428331,14.7724897238164,-10.6312761474194,47.9154602702953,0.943300226592222,-0.000107009327861825
"150",4,1,5,0.0560540049187398,20.1617570409938,13.7660637843477,-32.1569229130437,70.0427015275597,0.879034700976822,-0.00453463223734288
"151",4,1,6,-0.257758168064816,21.451014399917,14.5928564394995,-55.6411185568292,73.5300284958378,0.93182970801562,-0.00157698231954824
"152",4,1,7,-0.258598339225672,21.4366561963709,14.6056615764207,-55.8716165592947,74.1755201653852,0.932647382543418,-0.00137673668370162
"153",4,1,8,-0.324314364468522,21.0789609777769,14.6423919517658,-56.6098830879539,82.1052992417882,0.934992807859909,0.0330202975294911
"154",4,1,9,-0.255654304603641,20.6220914511172,14.0457794476974,-53.10965932291,76.167818592125,0.896895999481822,-0.00123316060028942
"155",4,1,10,-0.25578742177719,20.6252933493773,14.0469358907723,-53.240796351709,76.2995035972406,0.896969844381025,0.000160743734304438
"156",4,1,11,-0.256019286030135,20.6271098974076,14.0404759389012,-53.200986376979,76.2370671807885,0.8965573428882,0.000129658056970891
"157",4,1,12,-0.258703463216441,20.59253936547,14.0330456822065,-52.5242927158532,76.6253460505201,0.896082882390698,-0.000618195915356114
"158",4,1,13,-0.258480187887794,20.5714509709893,14.0416120979741,-52.8260943426404,76.9335731182793,0.896629892548481,0.000609253757972694
"159",4,1,14,-0.254533696496067,20.570756809304,14.0375210813357,-52.3831947459931,76.6199794390805,0.896368659879229,-0.000984191222103726
"160",4,1,15,-0.264551697654784,20.5227057437285,14.0924473239682,-55.3461952906654,80.4295351972086,0.899875985867589,0.0089481169863714
"161",5,0,0,-0.00422493339646555,21.5700855300743,14.5920446213908,-54.7125885419103,72.3130003595755,0.931777869211184,-0.000758270579702229
"162",5,0,1,-0.00328534816372681,21.5752581806008,14.5948996720003,-54.6380293181558,72.2820797287708,0.931960179027415,-0.00178151803675668
"163",5,0,2,0.00764539419630082,21.4645127135051,14.5670752039567,-53.5161217540888,72.1283977513272,0.930183442167142,0.00135334360520714
"164",5,0,3,0.00866841960153795,21.4599890779,14.5620004735763,-53.3535516473532,71.9876833970735,0.929859394264096,0.000362278117447043
"165",5,0,4,-0.0697640447668546,21.3070327700168,14.5129291753797,-52.8497684903133,72.5248116998005,0.926725936900212,-0.0103978775892393
"166",5,0,5,0.00896857156550916,21.4162139008539,14.5751578019724,-53.0010807944254,72.9840125537979,0.930699558047555,-0.00165768055288187
"167",5,0,6,0.0284790449236347,21.387605513046,14.5516681833992,-53.200046147286,72.7869125603596,0.929199623849802,0.00102322870137029
"168",5,0,7,0.000711637754695953,21.3730381622735,14.5339158386736,-53.1655018667399,72.3602632019657,0.928066044398044,-0.00195129979069946
"169",5,0,8,0.201424663305294,20.9704330960265,14.4470251782932,-49.8873352540143,78.1681488975919,0.922517624249647,0.0523402546149236
"170",5,0,9,0.00522164086180328,20.6070204137062,14.0063723230681,-50.5747165748597,74.4003496927892,0.894379649815169,4.02327639744518e-05
"171",5,0,10,0.00180950852874801,20.5903450255969,14.0155101576726,-50.4804212969012,74.4085610187458,0.894963148034776,-0.000600157972648588
"172",5,0,11,0.00428783948168719,20.5791906011496,14.023711071345,-50.5145379765412,74.5591569452567,0.895486818984637,0.000334362532703229
"173",5,0,12,0.061206328195205,20.5826674994495,13.9909028349252,-49.8089640940171,74.0922729828337,0.893391842617925,-9.04211819161683e-06
